time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005284,1.5261,0.2465,-0.6469,1.676
0.025521,1.6266,0.0149,-0.2341,1.643
0.041234,1.6862,-0.1488,-0.4580,1.754
0.061499,1.6218,-0.4161,-1.7364,2.412
0.081898,0.8148,-1.2986,-0.1800,1.544
0.102001,0.8834,-1.2561,0.6762,1.678
0.122021,0.8635,-1.4175,0.8531,1.866
0.142398,0.6790,-1.3852,0.3529,1.583
0.177432,0.3636,-1.3289,-2.0942,2.507
0.183388,0.2394,-1.2037,-2.1302,2.458
0.203200,-0.4263,-0.6725,-1.0743,1.337
0.226331,-0.9134,-0.2343,0.4555,1.047
0.243705,-1.3955,-0.8339,-0.3495,1.663
0.275663,-0.2195,-0.0415,-0.5262,0.572
0.283796,-0.5529,-0.2771,-0.2530,0.668
0.304633,-0.9285,-0.3287,-0.4226,1.072
0.324362,-0.2509,0.0413,-0.3845,0.461
0.344484,0.6417,-0.3649,-0.3129,0.802
0.376153,-0.2518,-0.1988,0.6959,0.766
0.385532,-0.0374,0.1362,1.1303,1.139
0.405936,0.6861,-0.1747,0.6477,0.960
0.425744,0.0661,-0.4539,1.2213,1.305
0.445984,-0.9560,0.4376,1.9797,2.242
0.470654,-1.1629,-0.4770,0.0903,1.260
0.485840,-0.9408,-0.7753,0.4915,1.314
0.507104,-0.8589,-0.6642,0.4565,1.178
0.526670,-0.6013,-0.3588,0.5070,0.865
0.546918,-0.2158,0.0988,0.5868,0.633
0.573534,-1.0914,-0.5056,1.5807,1.986
0.586987,-0.2491,-0.8236,1.1186,1.411
0.608251,-0.4331,-0.9884,1.5564,1.894
0.627855,0.4964,-0.4715,0.3013,0.748
0.648013,0.2845,-1.0933,0.7798,1.373
0.670088,0.5509,-1.1020,0.2039,1.249
0.688957,-0.3898,-0.1519,0.9053,0.997
0.708587,-0.2959,-0.0989,0.4807,0.573
0.728740,0.6310,0.6859,-1.4028,1.684
0.748573,0.2715,2.3419,-2.2256,3.242
0.768882,-0.7456,3.1733,-2.6223,4.184
0.789589,-1.7074,3.0963,-2.8809,4.561
0.810431,-1.1642,2.9014,-2.4313,3.960
0.831031,-0.8289,2.3137,-2.3030,3.368
0.851065,-0.9550,1.5631,-2.1452,2.821
0.873252,0.1228,1.0808,-3.3454,3.518
0.892493,0.3209,-0.3249,-0.8824,0.994
0.912561,1.2273,-1.5348,-0.5693,2.046
0.933277,1.8872,-2.2086,-0.1834,2.911
0.952921,1.9973,-2.5414,0.2069,3.239
0.973048,1.7279,-2.7031,0.3216,3.224
0.993878,2.0101,-2.7078,0.5771,3.421
1.013649,2.6307,-2.9518,0.5545,3.993
1.033712,3.2606,-3.0310,0.3651,4.467
1.053919,3.2376,-2.9392,0.4988,4.401
1.081657,2.7521,-2.9205,0.4641,4.040
1.094757,2.4679,-2.7533,0.1134,3.699
1.114531,2.4798,-2.6542,0.2196,3.639
1.134693,2.6149,-2.3286,0.1573,3.505
1.154892,2.6481,-2.0877,0.2778,3.383
1.183728,2.3461,-1.7361,0.2959,2.934
1.195994,2.0245,-1.6289,0.3760,2.625
1.215637,2.1282,-1.0808,0.5437,2.448
1.236026,2.3365,-0.5791,0.4457,2.448
1.255843,2.4286,-0.2211,0.6831,2.532
1.280934,3.0447,0.3035,0.9511,3.204
1.296894,3.2704,0.5689,1.3303,3.576
1.316263,3.1639,0.9681,1.1885,3.516
1.336915,2.8833,1.4037,1.1303,3.400
1.356995,2.7838,1.5512,1.5047,3.524
1.383555,2.7919,1.6446,1.9662,3.790
1.400116,2.9015,1.6528,2.0235,3.904
1.417516,2.8716,1.5429,1.8281,3.737
1.437774,2.5449,1.1434,1.5069,3.171
1.458245,2.2966,0.5945,1.0425,2.591
1.482559,2.8656,-0.5371,1.4662,3.263
1.498166,3.5908,-1.1009,1.5016,4.045
1.519019,4.1347,-1.8875,1.0624,4.668
1.538683,3.8462,-2.8351,1.1250,4.909
1.559483,2.9543,-2.8761,1.2580,4.311
1.585052,1.4103,-2.9351,0.8984,3.378
1.599215,0.8950,-2.5621,0.6612,2.793
1.619821,-0.3751,-2.0999,0.8384,2.292
1.639552,-2.2645,-1.4510,1.7380,3.202
1.660207,-3.6330,-0.4732,2.1264,4.236
1.685445,-4.5226,-0.2575,3.3763,5.650
1.700598,-4.4333,-0.9323,2.1302,5.006
1.720449,-4.1857,0.7202,1.1891,4.410
1.741180,-4.4062,3.7030,0.0906,5.756
1.761286,-3.0391,4.5626,-0.8445,5.547
1.784381,-2.1249,2.4817,1.2733,3.506
1.802317,-1.2185,1.1368,1.1232,2.010
1.821765,0.4031,0.1333,0.8017,0.907
1.842672,1.5155,0.4762,0.0058,1.589
1.862193,2.8933,1.3007,-0.6252,3.233
1.883772,1.9804,0.5097,-1.3025,2.425
1.903497,1.2907,1.4448,-1.4982,2.449
1.923285,1.1528,1.6557,-0.2075,2.028
1.943675,0.4942,0.4504,1.5003,1.643
1.963430,-3.0101,1.9973,-0.4273,3.638
1.985004,-1.3645,0.8709,2.2450,2.768
2.005331,-1.6727,0.8567,1.6533,2.503
2.024457,-1.2290,0.0502,1.4172,1.876
2.045154,-0.3737,-0.1152,1.7120,1.756
2.065003,1.6366,1.3261,2.0216,2.920
2.094979,3.7094,2.7916,1.8976,5.015
2.107155,4.7301,3.5275,0.6202,5.933
2.126494,6.6340,3.7610,-0.1052,7.627
2.146044,2.9193,1.7420,0.8695,3.509
2.166209,-1.2090,-0.1401,-0.4858,1.310
2.186098,-4.1088,-3.3542,-1.4653,5.503
2.206308,-3.0841,-2.8908,-0.2670,4.236
2.227147,0.6605,-1.2254,-3.0118,3.318
2.246861,-0.2153,-0.7752,-0.9124,1.216
2.278636,-0.0960,-2.0807,-1.2107,2.409
2.287305,0.7525,-2.0522,-0.1095,2.189
2.307160,0.0048,-2.0683,0.8464,2.235
2.327722,-0.9607,-2.7033,-0.5564,2.922
2.347572,-0.0629,-3.3226,0.2860,3.335
2.381120,2.9159,-5.5311,1.3918,6.406
2.388501,2.9222,-4.9010,2.6933,6.310
2.408120,1.0943,-3.0976,0.4701,3.319
2.428491,-1.5259,-3.3707,-3.5580,5.133
2.448601,-0.2794,-0.6121,1.5921,1.728
2.482492,0.2947,2.5207,-7.1453,7.583
2.493490,2.0894,3.6302,-7.2343,8.359
2.509148,0.9290,4.1841,-7.5008,8.639
2.529348,-1.4150,4.3087,-6.7043,8.094
2.549941,-1.5988,5.1352,-0.6244,5.414
2.578463,-1.8841,4.4845,0.3446,4.876
2.590296,-0.9992,4.1036,-0.5197,4.255
2.609922,-1.8010,2.9301,0.4206,3.465
2.630032,-2.0233,0.7180,-0.4160,2.187
2.650733,-1.8451,-1.7022,-0.2190,2.520
2.681217,0.0140,-1.9781,0.4048,2.019
2.690961,0.6186,-2.0210,-0.0484,2.114
2.711150,0.9267,-2.0974,-0.0753,2.294
2.731662,1.6138,-1.5732,-0.0927,2.256
2.752561,2.2585,-0.7357,0.1275,2.379
2.782656,1.9548,-0.6465,0.0273,2.059
2.794025,1.6619,-0.7517,0.1746,1.832
2.813103,1.3025,-0.9160,0.1128,1.596
2.832862,0.7265,-0.6081,-1.1910,1.522
2.853473,-0.2444,0.1393,0.2344,0.366
2.882369,0.3508,0.4386,-0.0170,0.562
2.893341,1.0359,0.2306,-0.4448,1.151
2.914084,2.3839,-0.4544,-0.7273,2.534
2.933970,2.7245,-0.0344,0.1062,2.727
2.954298,1.9621,1.6090,1.3256,2.863
2.983423,-0.1181,3.4980,2.1721,4.119
2.994676,-0.4393,3.3358,2.6631,4.291
3.015182,-0.4598,2.8153,2.6550,3.897
3.035445,0.3711,3.5366,2.4269,4.305
3.055214,1.4159,5.3332,1.4909,5.716
3.084298,1.3778,3.1699,1.4374,3.743
3.096085,1.4076,1.8484,0.7588,2.444
3.116793,0.5956,1.3616,-0.7036,1.644
3.137049,-0.3459,2.5905,-1.6889,3.112
3.157280,-1.3536,3.4204,-1.6538,4.033
3.179123,-3.3408,2.2998,-2.0363,4.538
3.197530,-3.9822,1.4555,-3.4348,5.457
3.217009,-3.1474,0.0604,-3.3564,4.602
3.237890,-1.3373,-2.0374,-1.8236,3.044
3.258210,1.9093,-2.5142,1.2189,3.384
3.282715,7.5308,-0.3567,5.2988,9.215
3.297994,3.7787,0.8350,4.3088,5.792
3.318016,-1.8766,0.3716,-0.5650,1.995
3.339449,-3.6131,-0.0922,-3.8169,5.257
3.359052,-4.1049,-1.4047,-3.5918,5.632
3.383088,-4.4527,-3.0387,-0.5631,5.420
3.399037,-4.3691,-3.1455,0.1821,5.387
3.419166,-4.5487,-2.2254,-0.8830,5.140
3.440533,-4.4162,-1.2448,-1.2972,4.768
3.459771,-4.2651,-0.7251,-0.5607,4.362
3.483365,-4.2100,-0.8040,-1.0846,4.421
3.501094,-3.5968,-0.8867,-1.1316,3.873
3.520562,-2.3448,-0.9070,-0.1940,2.522
3.541370,-1.5101,-1.0638,0.4004,1.890
3.561534,-0.2136,-0.6311,0.2852,0.725
3.582269,0.9242,-0.2083,0.7551,1.212
3.601982,0.3853,-0.1251,0.1534,0.433
3.621696,-0.9808,-0.8004,-0.2116,1.284
3.642583,-0.2885,-0.1149,1.2770,1.314
3.662037,4.6561,4.6543,-1.2025,6.692
3.683698,1.3080,5.3933,-5.3988,7.742
3.703394,-0.2853,3.4291,2.2598,4.117
3.723705,-2.5776,-0.6803,-1.2811,2.958
3.743148,-2.3139,-0.4988,-2.0005,3.099
3.765716,-0.4216,3.4832,-0.9235,3.628
3.790698,1.3610,4.6180,-0.4232,4.833
3.804497,1.1736,3.1019,1.3630,3.586
3.824872,-1.7193,0.4852,1.1596,2.130
3.844418,-2.2596,-0.6661,-0.0073,2.356
3.864829,-1.0372,-0.6609,-0.4682,1.316
3.893795,-0.4826,-1.2027,-0.5724,1.417
3.905102,-0.4856,-1.3646,-0.3844,1.499
3.926562,-0.3036,-1.5810,-0.1938,1.622
3.945970,0.3500,-1.5582,-0.4673,1.664
3.966018,1.1361,-1.5190,-0.0399,1.897
3.989387,1.8708,-2.0453,0.6677,2.851
4.006110,1.6541,-2.1291,0.4347,2.731
4.027297,1.3636,-1.9483,-0.5853,2.449
4.047092,1.6402,-1.0422,-1.6351,2.540
4.067227,1.4389,-0.3686,-0.1167,1.490
4.091773,0.0842,-0.0452,1.8952,1.898
4.107475,0.5746,0.0528,1.9747,2.057
4.127851,0.3377,0.3044,3.3224,3.353
4.147856,1.0593,0.9729,1.1424,1.837
4.168328,0.9785,0.6004,-1.4370,1.839
4.192030,-0.1685,1.3831,0.6351,1.531
4.208425,-0.8048,2.4805,1.7971,3.167
4.229438,-0.5478,3.0249,0.9505,3.218
4.249889,0.2902,2.6793,1.0470,2.891
4.269495,1.2363,2.1069,-0.4115,2.477
4.291292,1.8568,2.4737,-0.8220,3.200
4.309704,2.1854,3.0015,0.0946,3.714
4.329976,1.8573,2.5759,1.1639,3.382
4.351088,1.1096,1.2019,2.9706,3.391
4.370702,0.4917,0.7765,1.7924,2.014
4.391751,0.8074,1.8762,0.1939,2.052
4.411218,0.7505,2.3640,-0.5680,2.544
4.431309,-1.1636,2.4491,-2.0539,3.402
4.451480,-0.8775,1.5624,-2.9824,3.479
4.477593,0.6451,-0.7741,-2.4969,2.693
4.491709,1.3112,-1.8261,-1.1841,2.541
4.513035,3.0299,-0.7600,2.5883,4.057
4.534120,2.0328,0.9619,6.5894,6.963
4.553549,-1.1180,1.5778,4.3297,4.742
4.580343,-3.6198,1.5092,-2.6726,4.746
4.595173,-4.7166,1.1832,-4.6253,6.711
4.614085,-5.3749,-0.0301,-4.0505,6.730
4.634275,-4.4303,-1.6088,0.5907,4.750
4.655003,-2.7403,-1.6320,1.8545,3.689
4.678545,-3.0138,-1.0634,-0.5566,3.244
4.695813,-3.3249,-0.6371,-1.4109,3.668
4.716153,-3.4965,-0.8372,-0.1470,3.598
4.735450,-3.6143,-1.5913,-0.3022,3.961
4.755838,-3.1439,-2.4074,-0.5419,3.997
4.780217,-2.6559,-2.4449,0.2328,3.617
4.796049,-2.4451,-2.2967,0.6950,3.426
4.817245,-1.2762,-2.0804,0.5365,2.499
4.837353,-0.1748,-1.4146,1.0159,1.750
4.857016,-0.1324,-0.5453,0.6284,0.843
4.892518,-0.3058,-0.5470,0.3845,0.735
4.906442,-0.3540,-1.0201,0.3504,1.135
4.918527,-0.7858,-1.2163,0.5511,1.549
4.937910,2.1323,2.2903,1.4689,3.457
4.959113,3.2670,6.0311,-2.8195,7.416
4.987448,1.5105,7.8757,0.1356,8.020
5.002567,0.7912,5.2307,2.4494,5.830
5.018698,-0.9770,1.5165,-0.8708,2.003
5.039036,-1.6310,-0.3632,-0.7513,1.832
5.059100,-0.8735,0.2688,-0.2263,0.942
5.092356,0.3042,1.4751,0.2712,1.530
5.106266,-0.4324,0.9154,0.6019,1.178
5.120375,-1.4687,0.2698,0.7492,1.671
5.140139,-1.6651,-0.5055,0.4399,1.795
5.160937,-1.1699,-1.1725,0.4073,1.706
5.189451,-0.0442,-2.1594,0.3701,2.191
5.200745,0.2548,-2.4362,0.7070,2.549
5.220899,0.4004,-2.5706,0.7306,2.702
5.241077,0.6286,-1.9012,0.6818,2.115
5.261253,1.2650,-0.6951,0.7323,1.618
5.290801,1.1550,-0.4301,1.2552,1.759
5.306475,1.2004,-0.6652,1.0665,1.738
5.321920,1.3844,-0.8466,0.9994,1.906
5.342261,0.7748,-0.7214,0.8657,1.368
5.362351,0.6125,-0.6056,-0.8398,1.203
5.387647,1.5075,-0.5288,-2.6346,3.081
5.403067,1.3209,-0.5460,-1.3833,1.989
5.423299,1.2934,-0.6356,-0.2067,1.456
5.443113,0.7996,-0.4673,1.1060,1.443
5.463082,-0.3291,0.6013,2.0544,2.166
5.490756,-1.5660,1.0911,0.8633,2.095
5.506651,-1.9140,0.4250,-0.6409,2.063
5.523636,-1.4781,-0.2914,0.2016,1.520
5.543976,0.4583,0.1132,0.3158,0.568
5.564218,1.4690,0.6536,0.6094,1.719
5.590798,0.8985,1.5647,0.2237,1.818
5.604316,0.3083,1.2703,-0.2861,1.338
5.625110,-0.1953,0.2876,-0.4419,0.562
