time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003014,0.3012,-0.2490,-0.3752,0.542
0.016956,0.1219,-0.1462,-0.0270,0.192
0.039785,0.3393,0.0696,0.0958,0.359
0.075877,-0.1460,0.0661,0.1558,0.224
0.082403,-0.1366,-0.0583,0.0768,0.167
0.096780,0.1419,-0.3406,-0.3281,0.494
0.117010,0.0483,-0.2574,-0.6551,0.705
0.139980,0.0737,-0.1813,-0.5727,0.605
0.161342,0.2423,-0.4664,-0.6247,0.816
0.184485,0.5926,-0.4579,-0.7208,1.039
0.198886,0.7172,-0.4911,-0.3642,0.942
0.217747,0.4219,-0.7121,0.0788,0.831
0.239198,0.2067,-0.8296,-0.3870,0.938
0.264434,0.2947,-0.8537,-1.3339,1.611
0.278909,0.5009,-1.2873,-1.4393,1.995
0.298709,1.7432,-1.7904,-1.7292,3.039
0.319727,3.1345,-2.0976,-2.7589,4.673
0.343334,1.9215,-2.6751,-3.1173,4.535
0.359130,0.6739,-2.8791,-2.8060,4.076
0.379565,0.8308,-2.6665,-2.7725,3.935
0.399721,1.0621,-2.6033,-2.0058,3.454
0.419898,0.0676,-1.7400,-0.6926,1.874
0.445400,-1.1176,-0.8894,-0.4387,1.494
0.465386,-0.3520,-0.9353,-1.3156,1.652
0.480995,0.8308,-2.0086,-1.8314,2.842
0.500815,-0.5255,-2.1906,-0.9968,2.463
0.521552,-2.8829,-1.3435,0.4093,3.207
0.546446,-3.1460,-1.1051,0.3918,3.357
0.572495,-1.3737,-1.5459,0.8295,2.228
0.582225,-1.7850,-1.7702,1.1355,2.758
0.601698,-2.6380,-1.7421,1.8030,3.639
0.622063,-3.3089,-1.0946,1.3736,3.746
0.645074,-2.3493,0.4285,2.7328,3.629
0.665361,-1.3917,0.2492,2.7470,3.089
0.682688,-1.7247,-0.1390,1.9036,2.572
0.702831,-1.2235,0.6968,2.0058,2.451
0.723053,-1.7480,1.2491,3.3761,4.002
0.744938,-1.9255,1.0273,3.4447,4.078
0.763743,-1.4144,1.0530,2.8288,3.333
0.783596,-1.2938,0.7801,1.7053,2.278
0.803938,-1.5922,1.2428,1.3608,2.435
0.824142,-2.3773,1.4177,1.8457,3.327
0.845274,-1.3719,0.8867,1.9500,2.544
0.872381,-2.7275,1.5408,2.1482,3.798
0.885525,-3.2834,1.2254,2.6788,4.411
0.904800,-3.1344,0.8168,3.1580,4.524
0.924886,-2.1293,0.6717,3.1187,3.836
0.945090,-1.5182,1.4284,3.8431,4.372
0.973292,-0.4968,1.0000,3.9808,4.134
0.986279,-0.4062,-0.2102,2.2558,2.302
1.005802,0.8419,-1.4762,-0.6684,1.826
1.025842,-0.8772,-0.4325,-0.9934,1.394
1.046563,-1.4268,0.5653,0.3865,1.583
1.066027,-0.0191,1.0611,0.9171,1.403
1.086664,1.8361,0.8584,-0.2695,2.045
1.107191,3.2242,0.3524,-1.7203,3.671
1.127131,2.1326,-1.3278,-1.8809,3.138
1.147582,2.7052,-0.6394,-0.5842,2.840
1.167320,3.0643,0.3293,0.9761,3.233
1.187717,3.2058,3.0306,2.2757,4.964
1.207826,2.6651,2.3859,0.9717,3.707
1.228043,2.2583,-3.7276,-0.8486,4.440
1.255578,-1.0409,-4.9616,-3.5364,6.181
1.282930,-0.8217,-0.9471,0.9704,1.585
1.288109,-0.4802,0.0882,1.9360,1.997
1.308526,-0.0894,1.7329,2.1683,2.777
1.328904,-1.6855,0.7932,0.4805,1.924
1.355301,1.0335,0.1351,-1.4922,1.820
1.383640,1.4306,-2.7887,-2.2816,3.877
1.396864,-0.1780,-1.8257,-1.8385,2.597
1.409448,-0.9628,-0.4675,-0.8954,1.395
1.429669,-0.9777,0.3335,0.2158,1.055
1.455735,0.2236,-0.5507,0.4931,0.772
1.476584,-0.0581,-1.2189,0.0939,1.224
1.490147,-0.0650,-1.3993,0.0161,1.401
1.510523,0.0606,-0.9047,-0.4571,1.015
1.530946,0.0926,-0.5445,-0.5156,0.756
1.555204,0.6322,1.5131,-0.2237,1.655
1.583561,1.1464,0.7765,0.0777,1.387
1.596532,1.1135,0.7608,0.0377,1.349
1.611142,1.1167,0.7513,-0.2621,1.371
1.632037,0.9234,0.4824,-0.7930,1.309
1.655754,0.1838,-1.0026,-0.4630,1.120
1.679178,-0.9899,-1.4997,-0.0924,1.799
1.692237,-1.1233,-1.8873,-0.0069,2.196
1.712445,-1.1565,-2.3585,0.0275,2.627
1.732700,-1.3718,-3.4235,-0.1092,3.690
1.755113,0.3146,0.1706,-0.3180,0.479
1.775697,0.0577,0.2694,-0.2969,0.405
1.793265,0.1239,-0.1035,-0.3172,0.356
1.813413,-0.5856,-0.1903,-0.2482,0.664
1.844611,-0.0833,-0.0112,-0.0101,0.085
1.865411,0.1222,-0.0295,-0.1594,0.203
1.873748,-0.0047,-0.3260,-0.0925,0.339
1.894211,-0.1239,-0.4345,-0.1951,0.492
1.914463,-0.2219,0.1825,0.0004,0.287
1.944439,-0.3713,-0.2895,0.1328,0.489
1.970469,1.7837,-0.1354,-0.6157,1.892
1.974995,2.0269,0.1989,-0.7599,2.174
1.994881,0.9172,0.3874,-0.8220,1.291
2.015188,-0.2583,1.6024,-0.4083,1.674
2.043725,0.2043,1.8983,0.4826,1.969
2.069102,0.4218,1.1949,-0.1908,1.281
2.075532,0.2833,1.0864,-0.3913,1.189
2.096466,0.1357,0.9305,-0.6918,1.167
2.116162,-0.1576,0.2424,-0.4884,0.568
2.146552,-0.2834,-0.5849,0.4745,0.805
2.168523,-0.2061,-1.3658,0.3574,1.427
2.176807,-0.3136,-1.4802,0.1974,1.526
2.197384,-0.4008,-1.4920,-0.1459,1.552
2.217211,-0.1683,-1.1723,-0.1629,1.195
2.248174,0.0332,-1.0395,-0.0052,1.040
2.260505,-0.2191,-0.1724,0.1707,0.327
2.277907,0.3348,-0.2264,-0.1504,0.431
2.298903,1.1834,-0.1140,-0.2325,1.211
2.318468,1.5303,0.9073,-0.3868,1.821
2.343132,0.6998,2.3459,-0.1127,2.451
2.366690,0.5531,1.8625,0.4822,2.002
2.378783,0.8888,1.8639,0.3493,2.094
2.399064,0.8261,2.3678,0.0027,2.508
2.419323,-1.5415,0.4437,-0.2520,1.624
2.446435,-4.3330,-5.3972,-0.1597,6.923
2.464117,-3.7467,-8.3931,0.0703,9.192
2.480496,-0.5153,-6.7389,0.3245,6.766
2.500162,3.3744,-0.0199,-0.1008,3.376
2.520294,3.1086,0.8941,-0.0088,3.235
2.542498,2.4920,-0.1575,-0.3331,2.519
2.563867,1.1709,-0.5346,-0.7241,1.477
2.580836,-0.6011,-0.4060,-0.5570,0.915
2.601116,-1.9300,-0.1597,-0.0598,1.938
2.622105,-2.1276,-0.4552,0.2572,2.191
2.643895,-1.3625,-0.4433,0.5581,1.538
2.666810,-0.5330,0.0647,0.3265,0.628
2.681834,-0.3423,-0.0390,-0.0757,0.353
2.701813,-0.1328,-0.3456,-0.3783,0.529
2.722263,-0.1740,-0.4518,-0.3307,0.586
2.745910,-0.3596,-0.3892,0.1139,0.542
2.770912,-0.6944,-0.2300,0.2875,0.786
2.784208,-0.7253,-0.2255,0.2257,0.792
2.803885,-0.8679,-0.2314,-0.0251,0.899
2.823590,-1.1952,-0.2140,-0.1066,1.219
2.843519,-1.1666,-0.1459,0.0296,1.176
2.868657,-0.9785,-0.2901,0.3739,1.087
2.884694,-1.0611,-0.3315,0.7704,1.353
2.904457,-1.6130,-0.0494,1.0602,1.931
2.924664,-2.1348,0.2763,0.9430,2.350
2.945476,-2.0768,0.0852,0.7948,2.225
2.964991,-1.9535,0.0632,0.9188,2.160
2.985012,-1.6612,-0.2484,0.9288,1.919
3.005170,-1.2259,-1.0177,0.4447,1.654
3.026182,-0.9334,-2.1005,-0.0735,2.300
3.053889,-0.6311,-1.9843,0.5817,2.162
3.081603,1.1323,-0.6556,-0.5771,1.430
3.085653,1.2612,-0.6194,-0.7353,1.586
3.107523,1.5842,-0.4557,-1.3387,2.124
3.126322,1.7129,-0.4083,-0.4123,1.808
3.146671,1.7939,-0.2081,0.3850,1.846
3.173449,1.1371,0.3638,0.4138,1.264
3.188743,0.3456,0.3959,0.4195,0.672
3.207332,-0.7183,0.2066,0.3862,0.841
3.229139,-1.2419,0.1418,0.3572,1.300
3.253080,-0.5440,0.5157,-0.0560,0.752
3.269755,0.3517,0.7201,-0.4488,0.918
3.288693,0.8758,0.9338,-0.6270,1.426
3.308519,0.9702,0.9443,-0.3002,1.387
3.328812,0.4997,0.7370,0.1948,0.911
3.353131,-0.3123,0.5524,1.0577,1.234
3.372799,-0.5446,0.6139,1.0301,1.317
3.389476,-0.6631,0.6309,0.5472,1.066
3.409363,-0.5843,0.7653,0.2694,1.000
3.429646,-0.9171,0.5001,-0.1160,1.051
3.453388,-1.2811,-0.4347,-0.0965,1.356
3.469766,-1.3284,-1.0151,0.1920,1.683
3.490963,-1.0323,-0.8073,0.6536,1.464
3.510508,-0.8242,-0.3963,0.7149,1.161
3.530670,-0.1304,-1.3421,0.0517,1.349
3.553178,0.2757,-3.1619,-0.6327,3.236
3.579702,2.2694,-3.9880,-0.0869,4.589
3.591554,4.5344,-2.9898,1.1557,5.553
3.611388,3.5506,-0.0823,-0.0233,3.552
3.631482,1.7434,2.4128,-3.1405,4.327
3.652857,1.1336,2.8636,-2.3494,3.874
3.674157,0.8055,0.8971,-1.4871,1.914
3.692139,0.3022,-1.4375,-1.2857,1.952
3.713146,-1.2630,-3.1241,-0.3676,3.390
3.732480,-1.7291,-1.0467,0.7015,2.139
3.752700,-1.3427,0.6496,0.6140,1.613
3.772760,-0.0972,0.1652,-0.0828,0.209
3.793154,0.8874,-0.1443,-0.8875,1.263
3.813265,1.2610,0.6174,-1.7262,2.225
3.833373,0.7448,1.0925,-1.8742,2.294
3.853652,-0.3074,0.3705,-1.4437,1.522
3.873655,-1.3289,-0.0510,-1.0479,1.693
3.893825,-1.9461,0.2098,-0.8722,2.143
3.914300,-1.6761,0.4643,-0.2260,1.754
3.934435,-1.1166,0.1263,0.4272,1.202
3.955129,-0.3929,0.1852,0.8854,0.986
3.974769,0.2104,0.2770,0.9520,1.014
3.994946,0.2996,-0.0500,0.7219,0.783
4.015085,-0.1832,-0.6456,0.4884,0.830
4.035323,-0.5152,-0.3623,0.3851,0.738
4.056315,-0.8317,0.0529,0.4151,0.931
4.075381,-1.0959,-0.2316,0.3854,1.185
4.096079,-1.2854,-0.4924,0.3319,1.416
4.116113,-1.8359,-0.8049,0.1223,2.008
4.136522,-1.9819,-1.5223,0.1296,2.502
4.163401,-2.3776,-2.2801,0.4847,3.330
4.193055,-2.5664,-0.7590,1.2798,2.967
4.205262,-3.1122,-1.4827,1.9788,3.975
4.216890,-4.1004,-3.0355,4.6057,6.873
4.237299,-1.0038,-3.8918,8.1100,9.051
4.264057,0.9215,-1.0985,0.0637,1.435
4.277296,1.1175,-0.9748,-1.7827,2.319
4.298428,2.0445,-2.2948,-3.4324,4.607
4.318144,3.3296,-4.1424,-4.4710,6.945
4.338270,3.7371,-4.1698,-4.3965,7.119
4.363645,1.7580,-0.2526,-2.1269,2.771
4.388767,-2.5160,0.3410,1.8830,3.161
4.398824,-3.1917,0.2620,1.5346,3.551
4.419263,-0.0681,0.2173,-0.2736,0.356
4.439987,2.2854,0.3785,-1.7414,2.898
4.463312,3.1162,0.7843,-1.9599,3.764
4.492786,4.6694,0.6269,-1.6153,4.981
4.504712,5.1627,0.7239,-1.6262,5.461
4.520289,5.6517,0.9430,-1.9290,6.046
4.555782,6.2356,1.8579,-2.5132,6.975
4.580870,5.5083,2.0459,-1.4558,6.054
4.581721,5.5090,1.9324,-1.2542,5.971
4.601181,4.3204,0.7904,0.2229,4.398
4.621430,0.1233,-1.8989,1.7030,2.554
4.652097,-7.3664,-3.1307,4.0644,8.977
4.684332,-6.4686,1.2679,2.1645,6.938
4.684939,-6.4686,1.2679,2.1645,6.938
4.702474,-3.0488,-0.7706,-0.4213,3.173
4.722687,0.6108,-1.0115,-0.9698,1.529
4.752289,2.3451,-1.8021,-2.7246,4.021
4.775123,3.4625,-5.5024,-2.7089,7.043
4.783220,4.6476,-6.9094,-1.6088,8.481
4.803523,6.9090,-5.6420,6.1290,10.823
4.823699,2.3866,0.2609,0.3142,2.421
4.849770,0.7252,2.6424,0.5863,2.802
4.879132,0.6893,0.5171,-0.3811,0.942
4.884114,0.7251,0.2574,-0.5910,0.970
4.905225,1.0882,-0.7916,-2.3777,2.732
4.924992,0.4818,-1.2686,-3.3802,3.642
4.951652,-0.6201,1.0755,-2.9532,3.203
4.983091,-1.5381,1.1524,-0.4874,1.983
4.992908,-1.8136,0.6410,0.0043,1.924
5.005091,-1.7827,0.3624,0.4144,1.866
5.025435,-0.9811,0.9235,0.8115,1.573
5.051453,-0.2104,-0.0907,0.4702,0.523
5.076824,0.7301,-0.4143,0.7557,1.130
5.086069,0.9873,-0.1768,0.9803,1.402
5.106766,1.2313,0.0458,1.1185,1.664
5.127074,1.0175,-0.1780,0.6186,1.204
5.151494,0.2972,-0.2907,0.5841,0.717
5.177749,-0.4542,-0.1472,0.7227,0.866
5.187411,-0.6581,-0.1762,0.7564,1.018
5.207364,-1.2417,-0.0352,0.6169,1.387
5.227492,-2.1093,-0.1163,0.6583,2.213
5.254869,-2.7839,-0.4884,0.8662,2.956
5.278285,-2.8719,-0.8327,0.7139,3.074
5.289143,-2.7763,-0.6995,0.6840,2.944
5.308822,-2.7551,-0.4166,0.5624,2.843
5.328754,-3.5660,-2.2016,0.2540,4.199
5.355678,-3.3724,-2.3589,0.5784,4.156
5.379776,-3.5724,-2.5173,3.2499,5.446
5.393107,-2.8345,-2.6090,10.0231,10.738
5.409447,-0.8649,-1.8392,7.9459,8.202
5.430132,-0.5866,-1.0410,0.3450,1.244
5.451119,1.1978,-2.1579,-2.6080,3.591
5.474792,3.4699,-3.4078,-3.8245,6.187
5.491094,4.4260,-3.7649,-4.6262,7.427
5.510646,3.4201,-1.1333,-4.3671,5.661
5.531111,0.8377,0.8182,-1.9291,2.257
5.554652,-3.6320,0.0274,1.7776,4.044
5.575788,-2.1588,-0.3895,0.6198,2.279
5.591526,0.5474,-0.3095,-0.5210,0.817
5.612011,1.8936,0.3315,-0.8780,2.113
5.631946,3.1939,0.9001,-0.6839,3.388
5.654382,4.3614,1.1941,-0.6201,4.564
5.672853,5.1924,1.3343,-0.8709,5.431
5.692676,5.4282,1.1618,-1.1513,5.669
5.713441,5.5853,1.2928,-1.3601,5.892
5.733089,5.2933,2.0178,-1.3877,5.832
5.755001,4.8508,1.7278,-0.8855,5.225
5.777721,3.5576,-0.0019,-0.0138,3.558
5.794078,0.5617,-2.3450,1.5795,2.883
5.813894,-7.0329,-4.1330,4.2528,9.199
5.834679,-11.1042,-0.9137,5.2983,12.337
5.861663,-6.4884,1.0975,1.6271,6.779
5.892734,-1.3288,-6.5331,-1.8596,6.921
5.903414,0.1515,-6.2996,-2.9032,6.938
5.915473,2.1051,-6.0315,-3.0710,7.088
5.935446,5.2843,-5.1415,-0.8973,7.427
5.962056,6.9131,2.3534,-0.5235,7.321
5.987261,6.7924,4.0685,0.2114,7.921
5.995559,6.3672,3.3465,0.6763,7.225
6.016304,4.4434,0.8089,1.5140,4.763
6.036806,1.5186,-2.2894,0.1928,2.754
6.064891,-2.1502,-3.0929,-2.8783,4.741
6.086428,-3.5016,0.6387,-3.0118,4.663
6.096949,-3.8351,1.4014,-2.5177,4.797
6.117655,-4.4925,1.4588,-0.8768,4.804
6.137368,-4.7590,1.3085,0.6934,4.984
6.166045,-2.5363,2.2675,1.3633,3.665
6.188692,-1.0803,1.0659,1.0000,1.817
6.198854,-0.5891,0.2109,0.7128,0.948
6.218115,0.3642,-1.5114,0.0163,1.555
6.238581,0.9072,-1.1109,-0.1832,1.446
6.266300,2.0417,-0.0143,0.2836,2.061
6.284743,2.7617,0.1812,0.1474,2.772
